Flower Name	Kingdom	Phylum	Class	Order	Family	Genus	Lifespan
Aconite	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aconitum	Perennial
Ageratum	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ageratum	Annual/Perennial
Allium	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Perennial
Alstroemeria	Plantae	Tracheophyta	Liliopsida	Liliales	Alstroemeriaceae	Alstroemeria	Perennial
Amaryllis	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Amaryllis	Perennial
Anemone	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	Perennial
Angelica	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Perennial
Angelonia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Angelonia	Perennial
Artemisia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Annual/Biennial/Perennial
Aster	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Aster	Perennial
Astilbe	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Astilbe	Perennial
Aubrieta	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Aubrieta	Perennial
Avens	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Perennial
Azalea	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	Perennial
Balsam	Plantae	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	Annual/Perennial
Baneberry	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Actaea	Perennial
Beeblossom	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Oenothera	Annual/Biennial/Perennial
Beeplant	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Cleomaceae	Cleome	Annual/Perennial
Begonia	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Begoniaceae	Begonia	Annual/Perennial
Bellflower	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula	Annual/Biennial/Perennial
Bellis	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Bellis	Perennial
Bergenia	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Saxifragaceae	Bergenia	Perennial
Bird-of-Paradise	Plantae	Tracheophyta	Liliopsida	Zingiberales	Strelitziaceae	Strelitzia	Perennial
Blanketflower	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gaillardia	Annual/Biennial/Perennial
Bleeding Heart	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Lamprocapnos	Perennial
Bloodroot	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Sanguinaria	Perennial
Bluebell	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Hyacinthoides	Perennial
Bluebonnet	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Annual/Perennial
Boneset	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Perennial
Borage	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Borago	Annual
Bouvardia	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Bouvardia	Perennial
Brachyscome	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Brachyscome	Annual
Browallia	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Browallia	Annual
Bugle	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Annual/Perennial
Buttercup	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Annual/Biennial/Perennial
Caladium	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Caladium	Perennial
Calceolaria	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Calceolariaceae	Calceolaria	Annual/Biennial/Perennial
Calendula	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Calendula	Annual
Calla Lily	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Calla	Perennial
Camellia	Plantae	Tracheophyta	Magnoliopsida	Ericales	Theaceae	Camellia	Annual/Biennial
Campanula	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula	Annual/Biennial/Perennial
Candytuft	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Iberis	Annual/Perennial
Canna	Plantae	Tracheophyta	Liliopsida	Zingiberales	Cannaceae	Canna	Annual
Canna Lily	Plantae	Tracheophyta	Liliopsida	Zingiberales	Cannaceae	Canna	Annual
Cardinal	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	Annual/Biennial/Perennial
Carnation	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus	Annual/Biennial/Perennial
Catharanthus	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Annual/Perennial
Catnip	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Nepeta	Perennial
Celosia	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Celosia	Annual/Perennial
Chrysanthemum	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum	Perennial
Clematis	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Clematis	Perennial
Cleome	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Cleomaceae	Cleome	Annual/Perennial
Columbine	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Aquilegia	Perennial
Comfrey	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	Perennial
Coneflower	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Rudbeckia	Annual/Biennial/Perennial
Coreopsis	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Coreopsis	Perennial
Corydalis	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Corydalis	Annual/Biennial/Perennial
Cosmos	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cosmos	Annual/Perennial
Crocus	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Crocus	Perennial
Cupflower	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nierembergia	Perennial
Cyclamen	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Cyclamen	Perennial
Daffodil	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Narcissus	Perennial
Dahlia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Dahlia	Perennial
Daisy	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Bellis	Perennial
Daisybush	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Osteospermum	Perennial
Delphinium	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Delphinium	Perennial
Diascia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Diascia	Perennial
Forget-Me-Not	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	Annual/Biennial/Perennial
Forsythia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae	Forsythia	Perennial
Foxglove	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalis	Biennial/Perennial
Freesia	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Freesia	Perennial
Gaillardia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gaillardia	Annual/Biennial/Perennial
Gardenia	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Gardenia	Perennial
Gaura	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Oenothera	Annual/Biennial/Perennial
Gazania	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gazania	Perennial
Geranium	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	Annual/Biennial/Perennial
Gerbera	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gerbera	Perennial
Geum	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Perennial
Gladiolus	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Gladiolus	Perennial
Goldenrod	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Perennial
Gomphrena	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Gomphrena	Annual/Perennial
Heliotrope	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Heliotropiaceae	Heliotropium	Perennial
Hellebore	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Helleborus	Perennial
Hepatica	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Hepatica	Perennial
Hibiscus	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	Perennial
Hollyhock	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Alcea	Biennial/Perennial
Hyacinth	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Hyacinthus	Perennial
Hydrangea	Plantae	Tracheophyta	Magnoliopsida	Cornales	Hydrangeaceae	Hydrangea	Perennial
Hypericum	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	Annual/Biennial/Perennial
Hyssop	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Hyssopus	Perennial
Impatiens	Plantae	Tracheophyta	Magnoliopsida	Ericales	Balsaminaceae	Impatiens	Annual/Perennial
Iris	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	Iris	Perennial
Jasmine	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae	Jasminum	Perennial
Kalanchoe	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Kalanchoe	Perennial
Lantana	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lantana	Perennial
Larkspur	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Delphinium	Perennial
Lavender	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lavandula	Perennial
Leadwort	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Plumbago	Perennial
Liatris	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Liatris	Perennial
Lilac	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae	Syringa	Perennial
Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Limonium	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Limonium	Perennial
Lisianthus	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Eustoma	Annual/Perennial
Lobelia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	Annual/Biennial/Perennial
Lotus	Plantae	Tracheophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo	Perennial
Lupine	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Annual/Perennial
Magnolia	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Perennial
Malva	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Malva	Annual/Biennial/Perennial
Marigold	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Calendula	Annual
Mazus	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Mazaceae	Mazus	Annual/Perennial
Mirabilis	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Mirabilis	Perennial
Moonflower	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Annual/Perennial
Morning Glory	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	Annual/Perennial
Narcissus	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Narcissus	Perennial
Nasturtium	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium	Perennial
Nierembergia	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nierembergia	Perennial
Orchid	Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Orchis	Perennial
Oriental Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Osteospermum	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Osteospermum	Perennial
Pansy	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Annual/Perennial
Peony	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Paeoniaceae	Paeonia	Perennial
Periwinkle	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Annual/Perennial
Petunia	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Petunia	Annual/Perennial
Poppy	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Annual/Perennial
Primrose	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Primula	Perennial
Protea	Plantae	Tracheophyta	Magnoliopsida	Proteales	Proteaceae	Protea	Perennial
Ranunculus	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Annual/Biennial/Perennial
Rhododendron	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	Perennial
Rose	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Perennial
Rue	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Ruta	Perennial
Sanvitalia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sanvitalia	Annual
Snapdragon	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Antirrhinum	Perennial
Snowdrop	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Galanthus	Perennial
Solidago	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Perennial
Star of Bethlehem	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Ornithogalum	Perennial
Stargazer Lily	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Lilium	Perennial
Starflower	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Borago	Annual
Statice	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Plumbaginaceae	Limonium	Perennial
Stock	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Matthiola	Annual/Biennial/Perennial
Sunflower	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	Perennial
Sweet Pea	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Annual/Perennial
Tansy	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tanacetum	Perennial
Thoroughwort	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Perennial
Thunbergia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Thunbergia	Perennial
Tithonia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tithonia	Annual/Perennial
Torenia	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Linderniaceae	Torenia	Annual
Trachelium	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Trachelium	Perennial
Trillium	Plantae	Tracheophyta	Liliopsida	Liliales	Melanthiaceae	Trillium	Perennial
Tuberose	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Perennial
Tulip	Plantae	Tracheophyta	Liliopsida	Liliales	Liliaceae	Tulipa	Perennial
Twinspur	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Diascia	Perennial
Verbena	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Verbena	Annual/Biennial/Perennial
Violet	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Annual/Perennial
Watercress	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Nasturtium	Perennial
Windflower	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Anemone	Perennial
Wisteria	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Wisteria	Perennial
Yarrow	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Perennial
Zinnia	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Zinnia	Annual/Perennial